location,week_start,iso_code,country_reference,location_type,year,quarter,month,iso_week,pandemic_period,ukhsa_covid_deaths_weekly,ukhsa_hospital_admissions_weekly_sum,ukhsa_occupied_beds_weekly_avg,ukhsa_pcr_tests_weekly_sum,ukhsa_pcr_positivity_weekly_avg
England,2022-05-09,ENG,United Kingdom,england_detail,2022,2,5,19,2020-2022,674.0,4469.0,6759.571428571428,2861591.0,3.712857142857143
England,2022-05-16,ENG,United Kingdom,england_detail,2022,2,5,20,2020-2022,528.0,3664.0,5405.285714285715,2602731.0,3.3814285714285717
England,2022-05-23,ENG,United Kingdom,england_detail,2022,2,5,21,2020-2022,377.0,3114.0,4390.142857142857,2620077.0,2.7085714285714286
England,2022-05-30,ENG,United Kingdom,england_detail,2022,2,5,22,2020-2022,174.0,3237.0,3916.714285714286,2332900.0,2.815714285714286
England,2022-06-06,ENG,United Kingdom,england_detail,2022,2,6,23,2020-2022,271.0,4305.0,4191.285714285715,2298375.0,3.8628571428571425
England,2022-06-13,ENG,United Kingdom,england_detail,2022,2,6,24,2020-2022,246.0,5717.0,4975.857142857143,2186574.0,5.171428571428572
England,2022-06-20,ENG,United Kingdom,england_detail,2022,2,6,25,2020-2022,270.0,7912.0,6498.0,2109374.0,6.964285714285714
England,2022-06-27,ENG,United Kingdom,england_detail,2022,2,6,26,2020-2022,309.0,10555.0,8919.142857142857,2259659.0,8.571428571428571
England,2022-07-04,ENG,United Kingdom,england_detail,2022,3,7,27,2020-2022,399.0,12935.0,11807.42857142857,2335026.0,10.174285714285714
England,2022-07-11,ENG,United Kingdom,england_detail,2022,3,7,28,2020-2022,542.0,12289.0,13717.285714285714,2437184.0,10.049999999999999
England,2022-07-18,ENG,United Kingdom,england_detail,2022,3,7,29,2020-2022,697.0,10530.0,13292.714285714286,2307445.0,8.915714285714285
England,2022-07-25,ENG,United Kingdom,england_detail,2022,3,7,30,2020-2022,745.0,8095.0,11443.142857142857,2226343.0,7.377142857142857
England,2022-08-01,ENG,United Kingdom,england_detail,2022,3,8,31,2020-2022,682.0,6842.0,9524.57142857143,2034797.0,6.264285714285714
England,2022-08-08,ENG,United Kingdom,england_detail,2022,3,8,32,2020-2022,561.0,6119.0,8364.142857142857,1841041.0,5.707142857142857
England,2022-08-15,ENG,United Kingdom,england_detail,2022,3,8,33,2020-2022,520.0,4997.0,7331.285714285715,1694541.0,4.96
England,2022-08-22,ENG,United Kingdom,england_detail,2022,3,8,34,2020-2022,419.0,4192.0,6159.571428571428,1607099.0,4.291428571428571
England,2022-08-29,ENG,United Kingdom,england_detail,2022,3,8,35,2020-2022,297.0,3704.0,5492.714285714285,1427076.0,4.037142857142857
England,2022-09-05,ENG,United Kingdom,england_detail,2022,3,9,36,2020-2022,339.0,3441.0,4880.714285714285,1219330.0,4.624285714285714
England,2022-09-12,ENG,United Kingdom,england_detail,2022,3,9,37,2020-2022,280.0,3753.0,4567.571428571428,1084502.0,5.064285714285715
England,2022-09-19,ENG,United Kingdom,england_detail,2022,3,9,38,2020-2022,217.0,5713.0,5358.857142857143,1023692.0,6.688571428571429
England,2022-09-26,ENG,United Kingdom,england_detail,2022,3,9,39,2020-2022,274.0,7558.0,7373.857142857143,1065187.0,9.135714285714286
England,2022-10-03,ENG,United Kingdom,england_detail,2022,4,10,40,2020-2022,372.0,8267.0,9713.42857142857,1126119.0,10.731428571428571
England,2022-10-10,ENG,United Kingdom,england_detail,2022,4,10,41,2020-2022,523.0,7963.0,10508.142857142857,1205299.0,9.974285714285713
England,2022-10-17,ENG,United Kingdom,england_detail,2022,4,10,42,2020-2022,647.0,6839.0,10180.714285714286,1279086.0,8.814285714285715
England,2022-10-24,ENG,United Kingdom,england_detail,2022,4,10,43,2020-2022,620.0,5079.0,8896.857142857143,1102421.0,7.998571428571429
England,2022-10-31,ENG,United Kingdom,england_detail,2022,4,10,44,2020-2022,605.0,3764.0,7015.428571428572,959380.0,6.927142857142857
England,2022-11-07,ENG,United Kingdom,england_detail,2022,4,11,45,2020-2022,478.0,3483.0,5581.857142857143,872430.0,6.24
England,2022-11-14,ENG,United Kingdom,england_detail,2022,4,11,46,2020-2022,401.0,3340.0,4924.857142857143,819986.0,6.072857142857143
England,2022-11-21,ENG,United Kingdom,england_detail,2022,4,11,47,2020-2022,333.0,3546.0,4647.571428571428,770904.0,6.597142857142857
England,2022-11-28,ENG,United Kingdom,england_detail,2022,4,11,48,2020-2022,299.0,4028.0,4968.571428571428,800469.0,7.295714285714285
England,2022-12-05,ENG,United Kingdom,england_detail,2022,4,12,49,2020-2022,295.0,5009.0,5649.714285714285,858505.0,8.241428571428571
England,2022-12-12,ENG,United Kingdom,england_detail,2022,4,12,50,2020-2022,364.0,6827.0,6917.857142857143,978912.0,9.664285714285715
England,2022-12-19,ENG,United Kingdom,england_detail,2022,4,12,51,2020-2022,397.0,7724.0,8711.142857142857,1106758.0,11.647142857142857
England,2022-12-26,ENG,United Kingdom,england_detail,2022,4,12,52,2020-2022,367.0,7039.0,9389.857142857143,991137.0,11.6
England,2023-01-02,ENG,United Kingdom,england_detail,2023,1,1,1,2023-2026,679.0,5838.0,8962.857142857143,1071206.0,10.468571428571428
England,2023-01-09,ENG,United Kingdom,england_detail,2023,1,1,2,2023-2026,849.0,4248.0,7481.857142857143,984152.0,8.147142857142857
England,2023-01-16,ENG,United Kingdom,england_detail,2023,1,1,3,2023-2026,711.0,3907.0,6128.571428571428,842689.0,6.917142857142857
England,2023-01-23,ENG,United Kingdom,england_detail,2023,1,1,4,2023-2026,545.0,4497.0,5723.285714285715,744306.0,7.777142857142857
England,2023-01-30,ENG,United Kingdom,england_detail,2023,1,1,5,2023-2026,469.0,4974.0,6149.857142857143,736527.0,9.28
England,2023-02-06,ENG,United Kingdom,england_detail,2023,1,2,6,2023-2026,432.0,5480.0,6475.285714285715,762085.0,9.927142857142856
England,2023-02-13,ENG,United Kingdom,england_detail,2023,1,2,7,2023-2026,401.0,6244.0,7284.285714285715,799875.0,10.984285714285715
England,2023-02-20,ENG,United Kingdom,england_detail,2023,1,2,8,2023-2026,399.0,5961.0,7801.571428571428,812461.0,11.322857142857144
England,2023-02-27,ENG,United Kingdom,england_detail,2023,1,2,9,2023-2026,499.0,6182.0,7502.428571428572,808598.0,10.982857142857142
England,2023-03-06,ENG,United Kingdom,england_detail,2023,1,3,10,2023-2026,521.0,6908.0,7746.285714285715,825709.0,10.712857142857143
England,2023-03-13,ENG,United Kingdom,england_detail,2023,1,3,11,2023-2026,512.0,7120.0,8363.857142857143,809953.0,11.09
England,2023-03-20,ENG,United Kingdom,england_detail,2023,1,3,12,2023-2026,584.0,6440.0,8400.0,824962.0,10.195714285714287
England,2023-03-27,ENG,United Kingdom,england_detail,2023,1,3,13,2023-2026,599.0,5876.0,7853.0,757988.0,9.228571428571428
England,2023-04-03,ENG,United Kingdom,england_detail,2023,2,4,14,2023-2026,484.0,4607.0,6898.285714285715,458988.0,10.385714285714286
England,2023-04-10,ENG,United Kingdom,england_detail,2023,2,4,15,2023-2026,439.0,4267.0,6271.0,347183.0,10.98857142857143
England,2023-04-17,ENG,United Kingdom,england_detail,2023,2,4,16,2023-2026,508.0,3684.0,5360.714285714285,330553.0,10.239999999999998
England,2023-04-24,ENG,United Kingdom,england_detail,2023,2,4,17,2023-2026,436.0,3326.0,4723.714285714285,310762.0,9.507142857142856
England,2023-05-01,ENG,United Kingdom,england_detail,2023,2,5,18,2023-2026,286.0,3063.0,4440.142857142857,272018.0,10.052857142857144
England,2023-05-08,ENG,United Kingdom,england_detail,2023,2,5,19,2023-2026,283.0,2703.0,4036.714285714286,250176.0,9.647142857142857
England,2023-05-15,ENG,United Kingdom,england_detail,2023,2,5,20,2023-2026,304.0,2278.0,3455.285714285714,231495.0,8.632857142857143
England,2023-05-22,ENG,United Kingdom,england_detail,2023,2,5,21,2023-2026,251.0,2129.0,2992.4285714285716,214011.0,8.352857142857143
England,2023-05-29,ENG,United Kingdom,england_detail,2023,2,5,22,2023-2026,175.0,1216.0,2636.4285714285716,190113.0,7.671428571428571
England,2023-06-05,ENG,United Kingdom,england_detail,2023,2,6,23,2023-2026,195.0,1708.0,2304.8571428571427,187129.0,7.027142857142857
England,2023-06-12,ENG,United Kingdom,england_detail,2023,2,6,24,2023-2026,148.0,1226.0,2044.857142857143,175255.0,5.951428571428571
England,2023-06-19,ENG,United Kingdom,england_detail,2023,2,6,25,2023-2026,141.0,843.0,1590.4285714285713,159326.0,4.677142857142857
England,2023-06-26,ENG,United Kingdom,england_detail,2023,2,6,26,2023-2026,122.0,691.0,1238.0,143516.0,3.9899999999999998
England,2023-07-03,ENG,United Kingdom,england_detail,2023,3,7,27,2023-2026,91.0,830.0,1068.2857142857142,138940.0,4.107142857142857
England,2023-07-10,ENG,United Kingdom,england_detail,2023,3,7,28,2023-2026,73.0,948.0,1072.142857142857,138501.0,4.981428571428571
England,2023-07-17,ENG,United Kingdom,england_detail,2023,3,7,29,2023-2026,61.0,1121.0,1101.5714285714287,130225.0,5.857142857142857
