location,date,variant,variant_percent,iso_code,country_reference,location_type,year,quarter,month,iso_week,week_start,pandemic_period
England,2022-01-10,Delta,0.72,ENG,United Kingdom,england_detail,2022,1,1,2,2022-01-10,2020-2022
England,2022-01-10,Omicron BA.1,96.18,ENG,United Kingdom,england_detail,2022,1,1,2,2022-01-10,2020-2022
England,2022-01-10,Omicron BA.2,2.85,ENG,United Kingdom,england_detail,2022,1,1,2,2022-01-10,2020-2022
England,2022-01-10,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2022,1,1,2,2022-01-10,2020-2022
England,2022-01-10,Other,0.24,ENG,United Kingdom,england_detail,2022,1,1,2,2022-01-10,2020-2022
England,2022-01-17,Delta,0.29,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-17,Omicron BA.1,94.78,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-17,Omicron BA.2,4.67,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-17,Omicron BA.4,0.0,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-17,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-17,Other,0.25,ENG,United Kingdom,england_detail,2022,1,1,3,2022-01-17,2020-2022
England,2022-01-24,Delta,0.09,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-24,Omicron BA.1,90.52,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-24,Omicron BA.2,9.2,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-24,Omicron BA.4,0.0,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-24,Omicron BA.5,0.01,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-24,Other,0.18,ENG,United Kingdom,england_detail,2022,1,1,4,2022-01-24,2020-2022
England,2022-01-31,Alpha,0.0,ENG,United Kingdom,england_detail,2022,1,1,5,2022-01-31,2020-2022
