location,iso_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,quarter,month,iso_week,week_start,pandemic_period,location_type,mobility_restriction_index
United Kingdom,GB,2020-07-05,-48.0,-18.0,53.0,-37.0,-14.0,6.0,2020,3,7,27,2020-06-29,2020-2022,main_country,-33.0
United Kingdom,GB,2020-07-06,-36.0,-11.0,76.0,-43.0,-48.0,14.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-42.333333333333336
United Kingdom,GB,2020-07-07,-40.0,-12.0,52.0,-45.0,-48.0,16.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-44.333333333333336
United Kingdom,GB,2020-07-08,-42.0,-14.0,29.0,-47.0,-47.0,16.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-45.333333333333336
United Kingdom,GB,2020-07-09,-42.0,-12.0,38.0,-46.0,-47.0,16.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-45.0
United Kingdom,GB,2020-07-10,-41.0,-10.0,67.0,-40.0,-46.0,14.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-42.333333333333336
United Kingdom,GB,2020-07-11,-47.0,-12.0,69.0,-32.0,-14.0,6.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-31.0
United Kingdom,GB,2020-07-12,-43.0,-15.0,103.0,-27.0,-10.0,3.0,2020,3,7,28,2020-07-06,2020-2022,main_country,-26.666666666666668
United Kingdom,GB,2020-07-13,-35.0,-11.0,71.0,-42.0,-48.0,14.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-41.666666666666664
United Kingdom,GB,2020-07-14,-36.0,-11.0,73.0,-43.0,-48.0,15.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-42.333333333333336
United Kingdom,GB,2020-07-15,-33.0,-13.0,52.0,-47.0,-46.0,15.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-42.0
United Kingdom,GB,2020-07-16,-31.0,-10.0,85.0,-45.0,-45.0,14.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-40.333333333333336
United Kingdom,GB,2020-07-17,-33.0,-10.0,93.0,-41.0,-44.0,13.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-39.333333333333336
United Kingdom,GB,2020-07-18,-40.0,-13.0,61.0,-35.0,-14.0,5.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-29.666666666666668
United Kingdom,GB,2020-07-19,-35.0,-16.0,78.0,-32.0,-10.0,3.0,2020,3,7,29,2020-07-13,2020-2022,main_country,-25.666666666666668
United Kingdom,GB,2020-07-20,-25.0,-9.0,114.0,-42.0,-48.0,13.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-38.333333333333336
United Kingdom,GB,2020-07-21,-28.0,-10.0,116.0,-43.0,-48.0,13.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-39.666666666666664
United Kingdom,GB,2020-07-22,-29.0,-11.0,89.0,-44.0,-46.0,14.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-39.666666666666664
United Kingdom,GB,2020-07-23,-30.0,-9.0,81.0,-45.0,-47.0,14.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-40.666666666666664
United Kingdom,GB,2020-07-24,-32.0,-12.0,95.0,-40.0,-46.0,13.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-39.333333333333336
United Kingdom,GB,2020-07-25,-40.0,-16.0,25.0,-37.0,-15.0,6.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-30.666666666666668
United Kingdom,GB,2020-07-26,-33.0,-17.0,78.0,-30.0,-9.0,3.0,2020,3,7,30,2020-07-20,2020-2022,main_country,-24.0
United Kingdom,GB,2020-07-27,-29.0,-14.0,40.0,-46.0,-51.0,14.0,2020,3,7,31,2020-07-27,2020-2022,main_country,-42.0
United Kingdom,GB,2020-07-28,-26.0,-10.0,100.0,-42.0,-48.0,14.0,2020,3,7,31,2020-07-27,2020-2022,main_country,-38.666666666666664
United Kingdom,GB,2020-07-29,-25.0,-10.0,107.0,-41.0,-48.0,13.0,2020,3,7,31,2020-07-27,2020-2022,main_country,-38.0
United Kingdom,GB,2020-07-30,-23.0,-7.0,120.0,-41.0,-48.0,13.0,2020,3,7,31,2020-07-27,2020-2022,main_country,-37.333333333333336
United Kingdom,GB,2020-07-31,-29.0,-11.0,120.0,-37.0,-48.0,11.0,2020,3,7,31,2020-07-27,2020-2022,main_country,-38.0
United Kingdom,GB,2020-08-01,-36.0,-14.0,72.0,-30.0,-14.0,4.0,2020,3,8,31,2020-07-27,2020-2022,main_country,-26.666666666666668
United Kingdom,GB,2020-08-02,-28.0,-15.0,93.0,-27.0,-9.0,2.0,2020,3,8,31,2020-07-27,2020-2022,main_country,-21.333333333333332
United Kingdom,GB,2020-08-03,-15.0,-11.0,115.0,-39.0,-49.0,11.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-34.333333333333336
United Kingdom,GB,2020-08-04,-19.0,-13.0,89.0,-42.0,-49.0,13.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-36.666666666666664
United Kingdom,GB,2020-08-05,-16.0,-13.0,86.0,-43.0,-48.0,13.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-35.666666666666664
United Kingdom,GB,2020-08-06,-23.0,-10.0,120.0,-42.0,-48.0,12.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-37.666666666666664
United Kingdom,GB,2020-08-07,-28.0,-12.0,114.0,-39.0,-48.0,11.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-38.333333333333336
United Kingdom,GB,2020-08-08,-35.0,-14.0,92.0,-31.0,-13.0,3.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-26.333333333333332
United Kingdom,GB,2020-08-09,-28.0,-15.0,103.0,-27.0,-8.0,1.0,2020,3,8,32,2020-08-03,2020-2022,main_country,-21.0
United Kingdom,GB,2020-08-10,-11.0,-11.0,118.0,-40.0,-48.0,11.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-33.0
United Kingdom,GB,2020-08-11,-13.0,-11.0,118.0,-41.0,-48.0,12.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-34.0
United Kingdom,GB,2020-08-12,-14.0,-11.0,100.0,-42.0,-47.0,12.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-34.333333333333336
United Kingdom,GB,2020-08-13,-24.0,-10.0,89.0,-43.0,-48.0,13.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-38.333333333333336
United Kingdom,GB,2020-08-14,-26.0,-12.0,76.0,-39.0,-46.0,12.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-37.0
United Kingdom,GB,2020-08-15,-33.0,-15.0,50.0,-33.0,-13.0,4.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-26.333333333333332
United Kingdom,GB,2020-08-16,-29.0,-18.0,52.0,-32.0,-10.0,3.0,2020,3,8,33,2020-08-10,2020-2022,main_country,-23.666666666666668
United Kingdom,GB,2020-08-17,-9.0,-14.0,80.0,-41.0,-48.0,11.0,2020,3,8,34,2020-08-17,2020-2022,main_country,-32.666666666666664
United Kingdom,GB,2020-08-18,-11.0,-13.0,93.0,-41.0,-46.0,12.0,2020,3,8,34,2020-08-17,2020-2022,main_country,-32.666666666666664
United Kingdom,GB,2020-08-19,-15.0,-17.0,39.0,-44.0,-46.0,13.0,2020,3,8,34,2020-08-17,2020-2022,main_country,-35.0
