week_start,cases,future_deaths,pandemic_period,cases_log1p,week_start_label
2023-07-10,6.062943679307653,0.1355968149457599,2023-2026,1.9548619163482208,2023-07-10
2023-07-17,6.999549493800552,0.1487673665078204,2023-2026,2.079385226819253,2023-07-17
2023-07-24,8.693761353829252,0.2071368563851343,2023-2026,2.27148251919456,2023-07-24
2023-07-31,11.90797459640667,0.2529344561350267,2023-2026,2.5578453061374744,2023-07-31
2023-08-07,14.74652778874804,0.382245326017076,2023-2026,2.7566198831099693,2023-08-07
2023-08-14,17.444096213231898,0.4765345019727368,2023-2026,2.914744330836595,2023-08-14
2023-08-21,18.411233760891395,0.4229543035725359,2023-2026,2.9658519583185896,2023-08-21
2023-08-28,19.650163599877043,0.5007802900756211,2023-2026,3.0277232418878643,2023-08-28
2023-09-04,27.091824563158585,0.6405677350638548,2023-2026,3.335478593195349,2023-09-04
2023-09-11,27.51687418175236,0.5798035994479845,2023-2026,3.3504959886191514,2023-09-11
2023-09-18,26.58505765873657,0.5857902137943756,2023-2026,3.3172742369428576,2023-09-18
2023-09-25,32.78659146016318,0.6708001375131303,2023-2026,3.520064021419739,2023-09-25
2023-10-02,37.041577606860706,0.7797565186174494,2023-2026,3.638679709132187,2023-10-02
2023-10-09,31.64733875004494,0.7471294704296175,2023-2026,3.48576334397916,2023-10-09
2023-10-16,22.343541394318432,0.3684761130203763,2023-2026,3.1503203460390656,2023-10-16
2023-10-23,17.135785574392752,0.0,2023-2026,2.8978870899324636,2023-10-23
2023-10-30,20.499065514195312,0.0,2023-2026,3.0680094697329783,2023-10-30
2023-11-06,10.250281083890956,0.0,2023-2026,2.420393113573055,2023-11-06
2023-11-13,10.989927286387584,0.0,2023-2026,2.4840669044995645,2023-11-13
2023-11-20,9.956936980917789,0.0,2023-2026,2.393972769916143,2023-11-20
2023-11-27,11.354512100082806,0.0,2023-2026,2.5140213485825362,2023-11-27
2023-12-04,15.89925038114566,0.0,2023-2026,2.8272692648000377,2023-12-04
2023-12-11,19.962066207324025,0.0,2023-2026,3.0427144331879945,2023-12-11
2023-12-18,22.58749592893387,0.0,2023-2026,3.1607167381004353,2023-12-18
2023-12-25,21.37849916168017,0.0,2023-2026,3.108100639047927,2023-12-25
2024-01-01,18.64620837398725,0.0,2023-2026,2.977884361629661,2024-01-01
2024-01-08,14.23347493926232,0.0,2023-2026,2.723495304982869,2024-01-08
2024-01-15,13.806030674929987,0.0,2023-2026,2.6950345758092498,2024-01-15
2024-01-22,13.919177686076782,0.0,2023-2026,2.702647478382524,2024-01-22
2024-01-29,10.874684960219554,0.0,2023-2026,2.4744088199030654,2024-01-29
2024-02-05,8.571933751880191,0.0,2023-2026,2.258835248990019,2024-02-05
2024-02-12,6.0449838362684805,0.0,2023-2026,1.9523158509929341,2024-02-12
2024-02-19,4.171772207282684,0.0,2023-2026,1.6432154164908463,2024-02-19
2024-02-26,3.304311788490604,0.0,2023-2026,1.459617261799522,2024-02-26
2024-03-04,3.3944103344037915,0.0,2023-2026,1.4803333547647424,2024-03-04
2024-03-11,3.6395621918885097,0.0,2023-2026,1.5346200065899904,2024-03-11
2024-03-18,3.168116312110205,0.0,2023-2026,1.427464210038238,2024-03-18
2024-03-25,3.065445876069597,0.0,2023-2026,1.4025234235946245,2024-03-25
