theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-01-12,376.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,2024-01-05,292.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-12-29,161.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-12-22,249.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-12-15,221.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-12-08,167.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-12-01,163.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-11-24,162.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-11-17,239.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-11-10,291.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-11-03,309.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-10-27,297.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-10-20,287.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-10-13,318.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-10-06,233.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-09-29,203.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-09-22,241.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-09-15,229.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-09-08,197.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-09-01,136.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-08-25,178.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-08-18,115.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-08-11,101.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-08-04,65.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-07-28,55.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-07-21,61.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-07-14,73.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-07-07,91.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-06-30,122.0000,False
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,2023-06-23,141.0000,False
